"Microsoft.PowerShell.Commands.Utility.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.PowerShell.Commands.Utility.xml" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.PowerShell.ConsoleHost.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.PowerShell.ConsoleHost.xml" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.PowerShell.CoreCLR.Eventing.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.PowerShell.CoreCLR.Eventing.xml" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.PowerShell.GraphicalHost.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.PowerShell.GraphicalHost.dll.config" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.PowerShell.GraphicalHost.xml" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.PowerShell.MarkdownRender.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.PowerShell.SDK.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.PowerShell.SDK.xml" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.PowerShell.Security.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.PowerShell.Security.xml" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.PowerShell_profile.ps1" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.VisualBasic.Core.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.VisualBasic.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.VisualBasic.Forms.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.VSCode_profile.ps1" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.Win32.Primitives.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.Win32.Registry.AccessControl.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.Win32.Registry.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.Win32.SystemEvents.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.WSMan.Management.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.WSMan.Management.xml" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.WSMan.Runtime.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Microsoft.WSMan.Runtime.xml" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"miutils.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"Modules" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
"mscordaccore.dll" : "C:\Users\angryteapodthebonedo\scoop\apps\pwsh\current"
